complex_no	pyeong_no
17755	5
17755	6
17756	1
17756	2
17756	3
17756	5
17757	10
17757	11
17757	12
17757	2
17757	3
17757	5
17757	6
17757	7
17757	8
17757	9
17758	1
17758	2
17758	3
17758	4
17758	5
17758	6
17759	1
17759	2
17759	3
17759	4
17760	1
17760	3
17760	4
17761	1
17761	2
17761	3
17761	4
17761	5
17761	6
17762	1
17762	2
17762	3
17762	4
17763	1
17763	2
17764	1
17764	2
17764	3
17764	4
17765	1
17765	2
17765	3
17765	4
17766	1
17766	2
17766	3
17766	4
17767	1
17767	10
17767	11
17767	2
17767	3
17767	4
17767	5
17767	6
17767	7
17767	8
17767	9
17768	1
17768	2
17768	3
17768	4
17768	5
17768	6
1777	1
1777	2
1777	3
1777	4
1777	5
1777	6
1777	7
17770	1
17770	2
17770	3
17771	1
17771	2
17772	1
17772	10
17772	2
17772	3
17772	4
17772	5
17772	6
17772	7
17772	8
17772	9
17773	1
17773	2
17773	3
17773	4
17774	1
17774	10
17774	2
17774	3
17774	4
17774	5
17774	6
17774	7
17774	8
17774	9
17777	1
17777	2
17778	1
17778	2
17778	3
17778	4
17778	5
17778	6
17778	7
17779	1
17779	2
1778	1
1778	2
17782	1
17782	3
17782	4
17784	1
17784	2
17784	3
17785	1
17785	10
17785	11
17785	12
17785	13
17785	14
17785	15
17785	16
17785	17
17785	18
17785	19
17785	20
17785	21
17785	22
17785	23
17785	24
17785	25
17785	26
17785	27
17785	28
17785	29
17785	3
17785	30
17785	4
17785	5
17785	7
17785	8
17785	9
17787	1
17787	2
17787	3
17788	1
17788	2
17788	3
1779	1
1779	2
1779	3
17790	1
17790	2
17791	3
17791	4
17793	1
17793	10
17793	11
17793	12
17793	2
17793	3
17793	4
17793	5
17793	6
17793	7
17793	8
17793	9
17795	1
17795	2
17795	3
17795	4
17795	5
17795	6
17796	1
17796	2
17796	3
17796	4
17796	5
17796	6
17796	7
17797	1
17797	2
17797	3
17797	4
17797	5
17798	1
17798	2
17799	1
17799	2
17799	3
17799	4
17799	5
1780	1
1780	2
1780	3
1780	4
17801	1
17801	2
17801	3
17801	4
17801	5
17801	6
17802	1
17802	2
17802	3
17803	1
17803	2
17803	3
17804	1
17804	2
17804	3
17805	1
17805	2
17805	3
17805	4
17805	5
17805	6
17805	7
17805	8
17807	1
17807	2
17809	1
17809	2
17809	3
17809	4
1781	1
17811	1
17811	2
17811	3
17811	4
17811	5
17813	1
17814	1
17814	2
17815	1
17815	2
17815	3
17815	4
17815	5
17815	6
17815	7
17816	1
17816	10
17816	11
17816	12
17816	13
17816	2
17816	3
17816	4
17816	5
17816	7
17816	8
17816	9
17817	1
17817	2
17817	3
17817	4
17817	5
1782	1
17820	1
17820	2
17820	4
17820	5
17820	6
17821	1
17822	1
17822	2
17824	1
17824	2
17825	1
17825	2
17826	1
17826	2
17827	1
17827	2
17827	3
17827	4
17827	5
17827	6
17827	7
17827	8
17828	1
17829	1
17829	2
17829	3
17829	4
17829	5
17829	6
17829	7
17829	8
17829	9
1783	1
17830	10
17830	2
17830	3
17830	4
17830	5
17830	9
17831	1
17831	2
17831	3
17831	4
17831	5
17832	1
17832	10
17832	11
17832	12
17832	13
17832	14
17832	2
17832	3
17832	4
17832	5
17832	6
17832	7
17832	8
17832	9
17835	1
17836	1
17836	2
17836	3
17836	4
17837	1
17837	2
17837	3
17837	4
17837	5
17837	6
17838	1
17838	2
17838	3
17838	4
17838	5
1784	1
1784	2
1784	3
1784	4
17840	1
17841	1
17841	2
17841	3
17841	4
17841	5
17841	6
17842	1
17842	2
17842	3
17843	1
17843	2
17843	3
17843	4
17843	5
17844	1
17845	1
17845	2
17845	3
17846	1
17846	2
17846	4
17848	1
17848	2
17848	3
17848	4
17848	5
17848	6
17848	7
17848	8
17849	1
17849	2
1785	1
1785	2
1785	3
1785	4
17850	6
17852	1
17852	2
17854	1
17854	2
17854	3
17854	4
17854	5
17854	6
17855	1
17855	2
17855	3
17855	4
17855	5
17855	6
17855	7
17855	8
17855	9
17857	1
17857	10
17857	11
17857	12
17857	13
17857	14
17857	15
17857	16
17857	17
17857	18
17857	19
17857	2
17857	20
17857	21
17857	22
17857	23
17857	24
17857	25
17857	26
17857	27
17857	28
17857	29
17857	3
17857	4
17857	5
17857	6
17857	7
17857	8
17857	9
1786	1
17860	1
17860	2
17860	3
17862	1
17862	2
17862	3
17862	4
17862	5
17862	6
17864	1
17864	2
17864	3
17864	4
17864	5
17864	6
17864	7
17865	1
17865	10
17865	2
17865	3
17865	4
17865	5
17865	6
17865	7
17865	8
17865	9
1787	1
1787	2
17876	1
17876	2
17878	1
17878	2
17878	3
17878	4
17878	5
1788	1
1788	2
1788	3
1788	4
1788	5
1788	6
17884	1
17884	10
17884	11
17884	12
17884	13
17884	14
17884	15
17884	16
17884	17
17884	18
17884	19
17884	2
17884	20
17884	21
17884	22
17884	23
17884	3
17884	4
17884	5
17884	6
17884	7
17884	8
17884	9
1789	1
1789	2
1789	3
1789	4
1789	5
1789	6
1789	7
17891	1
17891	2
17895	1
17895	10
17895	11
17895	12
17895	13
17895	14
17895	15
17895	16
17895	17
17895	19
17895	2
17895	22
17895	23
17895	25
17895	27
17895	29
17895	3
17895	4
17895	5
17895	7
17895	8
17897	1
17897	2
17897	3
17897	4
17897	5
17897	6
17898	1
17898	2
179	1
179	2
17900	1
17900	2
17900	3
17900	4
17900	5
17900	6
17902	2
17902	3
17902	4
17904	1
17906	1
17906	2
17906	3
17906	4
17906	5
17906	6
17906	7
17907	1
17907	10
17907	11
17907	2
17907	3
17907	4
17907	5
17907	6
17907	7
17907	8
17907	9
1791	1
1791	2
1791	3
1791	4
1791	7
1791	8
17910	1
17910	10
17910	11
17910	12
17910	13
17910	2
17910	3
17910	4
17910	5
17910	6
17910	7
17910	8
17910	9
17911	1
17911	2
17911	3
17911	4
17913	1
17913	2
17913	3
17913	4
17913	5
17913	6
17913	7
17913	8
17913	9
17915	1
17915	10
17915	11
17915	2
17915	3
17915	4
17915	5
17915	6
17915	9
17918	1
17918	10
17918	2
17918	3
17918	4
17918	5
17918	6
17918	7
17918	8
17918	9
1792	1
1792	10
1792	2
1792	3
1792	4
1792	5
1792	6
1792	7
1792	8
1792	9
17920	1
17920	2
17921	1
17921	2
17921	3
17921	4
17921	5
17921	6
17922	2
17922	4
17922	5
17923	1
17923	10
17923	11
17923	2
17923	3
17923	5
17923	6
17923	7
17923	8
17923	9
17924	1
17924	2
17924	3
17924	4
17924	5
17928	1
17928	2
17929	1
17929	2
17929	3
17929	4
17929	5
17929	6
1793	1
1793	2
17934	1
17934	2
17934	3
17934	4
17934	5
17934	6
17934	7
17937	1
17937	2
17937	3
17937	4
17937	5
17937	6
1794	1
17940	1
17940	2
17940	3
17940	4
17940	5
17941	1
17941	10
17941	11
17941	12
17941	2
17941	3
17941	4
17941	5
17941	6
17941	7
17941	9
17948	1
17948	2
17948	3
17948	4
17948	5
17949	1
1795	1
1795	2
17953	1
17953	2
17953	3
17954	1
17954	2
17954	3
17954	4
17954	5
17955	1
17955	2
17958	1
17958	10
17958	11
17958	12
17958	2
17958	3
17958	4
17958	5
17958	6
17958	7
17958	8
17958	9
1796	1
1796	2
1796	3
17962	1
17962	2
17962	3
17962	4
17962	5
17965	1
17968	1
17968	2
17968	3
17969	1
17969	10
17969	11
17969	12
17969	13
17969	14
17969	15
17969	2
17969	3
17969	4
17969	5
17969	6
17969	7
17969	8
17969	9
1797	1
17970	1
17970	10
17970	11
17970	12
17970	13
17970	14
17970	15
17970	16
17970	17
17970	4
17970	5
17970	6
17970	7
17970	8
17970	9
17974	1
17974	2
17974	3
17974	4
17974	5
17975	1
17975	2
17975	3
17975	4
17976	1
17976	2
17976	3
17976	4
17976	5
17976	6
17976	7
17976	8
17976	9
17978	1
17978	3
17978	5
17978	7
17979	1
17979	2
17979	3
17979	4
17979	5
1798	1
1798	2
1798	3
1798	4
1798	5
17988	1
17988	2
17989	1
17989	2
17989	3
17989	4
17989	5
17993	1
17993	2
17999	1
17999	2
18	1
18	2
18	3
18	4
180	1
