complex_no	pyeong_no
13963	2
139630	1
139630	2
139630	3
139631	1
139631	2
139631	3
139631	4
139631	5
139631	6
139635	1
13964	1
13964	2
13964	3
139646	1
139646	2
139646	3
13965	1
13965	2
139653	1
139653	2
13966	1
13966	2
13968	1
13968	2
13969	1
13969	2
13969	3
13969	4
13969	5
13969	6
13969	7
13969	8
13970	1
13970	2
13970	3
13970	4
139722	1
139723	1
139723	2
139723	3
139723	4
139723	5
139723	6
13973	1
13973	2
13973	3
13974	1
13974	10
13974	11
13974	12
13974	13
13974	14
13974	15
13974	2
13974	3
13974	4
13974	5
13974	6
13974	7
13974	8
13974	9
139742	1
139742	2
139742	3
139742	4
139742	5
139743	1
139743	2
139743	3
139743	4
139743	5
139744	1
139744	2
139744	3
139744	4
13976	1
13976	3
13976	4
13976	6
13976	7
13976	8
139765	1
13977	1
13977	10
13977	2
13977	3
13977	4
13977	5
13977	6
13977	7
13977	8
13977	9
13978	1
13978	2
139793	1
139793	2
139793	3
139793	4
139793	5
139793	6
139793	7
139793	8
139793	9
139794	1
139794	2
139794	3
1398	1
1398	2
1398	3
1398	4
139803	1
139803	2
139806	1
139806	2
139806	3
139806	4
139808	1
139812	1
139812	10
139812	11
139812	12
139812	13
139812	14
139812	15
139812	2
139812	3
139812	4
139812	5
139812	6
139812	7
139812	8
139812	9
139813	1
139813	2
13982	1
13982	2
13982	3
13982	4
13982	5
13982	8
139823	1
139823	2
139825	1
13984	1
13984	2
13984	3
13984	4
139842	1
139842	2
139842	3
139842	4
139842	5
139842	6
139843	1
13986	1
13986	13
13986	14
13986	15
13986	16
13986	17
13986	2
13986	3
139862	1
139862	10
139862	11
139862	12
139862	2
139862	3
139862	4
139862	5
139862	6
139862	7
139862	8
139862	9
139866	1
139866	2
139868	1
139868	2
139868	3
139868	4
139868	5
13987	1
13987	2
13987	3
139874	1
139874	2
139874	3
139874	4
139874	5
139874	6
139874	7
139875	1
139875	2
13988	1
13988	2
13988	3
139885	1
139885	2
139885	3
139885	4
139886	1
139887	1
13989	1
13989	2
13989	3
13989	4
13989	5
13989	6
139891	1
139891	2
139891	3
139891	4
139891	5
139892	1
139892	2
1399	1
1399	2
1399	3
1399	4
139902	1
139902	10
139902	11
139902	12
139902	13
139902	14
139902	15
139902	16
139902	17
139902	18
139902	19
139902	2
139902	20
139902	21
139902	22
139902	23
139902	3
139902	4
139902	5
139902	6
139902	7
139902	8
139902	9
139904	1
139904	2
139904	3
139904	4
139905	1
139905	2
139905	3
139905	4
139907	1
139907	2
139907	3
139907	4
139909	1
139909	2
139910	1
139910	2
139910	3
139910	4
139911	1
139916	1
139916	2
139916	3
139916	4
139916	5
139916	6
139916	7
139916	8
139917	1
139917	10
139917	11
139917	12
139917	13
139917	14
139917	15
139917	2
139917	3
139917	4
139917	5
139917	6
139917	7
139917	8
139917	9
139920	1
139920	2
139920	3
139920	4
139920	5
139920	6
139920	7
139920	8
139920	9
139921	1
139921	2
139921	3
139924	1
139924	2
139924	3
139924	4
139924	5
139927	1
139927	2
139927	3
139927	4
139927	5
139931	1
139931	2
139935	1
139935	2
139936	1
139936	2
139938	1
139938	2
139941	1
139941	2
139942	1
139942	2
139944	1
13995	1
13995	2
13995	3
139950	1
139951	1
139951	2
139951	3
139951	4
139951	5
139953	1
139957	1
139957	2
139957	3
13996	1
13996	2
13996	3
13996	4
139962	1
139962	2
139962	3
139962	4
139965	1
139965	2
139965	3
139965	4
139965	5
139967	1
139967	2
139967	3
139967	4
139967	5
139967	6
139967	7
139968	1
139968	2
139968	3
139968	4
139968	5
139968	6
139968	7
13997	10
13997	11
13997	12
13997	13
13997	14
13997	15
13997	16
13997	2
13997	3
13997	4
13997	5
13997	6
13997	7
13997	8
13997	9
139974	1
139974	2
139974	3
139983	1
139983	2
139983	3
139983	4
139985	1
139985	2
139985	3
139985	4
13999	1
13999	2
13999	3
14	1
140	1
140	2
140	3
14000	1
14000	2
14000	3
14000	4
14000	5
140002	1
140002	10
140002	11
140002	12
140002	13
140002	2
140002	3
